Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
 Я понимаю, что Оленька обижена на отца и на судьбу, но я для Оли сделал всё, чего требовал моральный долг.  [Алексей Иванов. Комьюнити (2012)] [омонимия не снята]	anim	null	obidet	lexical	
  Вета знала, что у нее нет папы, но есть тетя Наташа, дядя Петя и бабушка.  Знала, что мама на них обижена.  Хотя тетя Наташа Вете очень нравилась ― такая красивая, веселая.  [Маша Трауб. Ласточ…ка (2012)] [омонимия не снята]	anim	null	obidet	lexical	
 Прежде чем уснуть, решила к Ненашевым больше не ходить ― Вета злилась на себя и была обижена на Лизу.  [Маша Трауб. Ласточ…ка (2012)] [омонимия не снята]	anim	cop	obidet	lexical	
  Слышал, что братства сильно обижены на родных тех, кто убит в эти пятьдесят семь лет, как верстовыми столбами обозначенных вступлением на престол Николая II и днем, когда в Колонном зале Дома Союзов прощались со Сталиным.  [Владимир Шаров. Ходынцы и Трубные // «Русская жизнь», 2012] [омонимия не снята]	anim	null	obidet	lexical	
  В Бейтбридже родственники умершей женщины во время похорон вытащили ее тело из гроба, завернули в одеяло и увезли к себе в деревню: они были обижены на мужа покойницы, не уведомившего их о дате похорон.  [Мир в заголовках // «Русский репортер», 2012] [омонимия не снята]	anim	cop	obidet	lexical	
 Они на тебя обижены, но очень им не хочется быть с этой сволочью Богдановым».  [Виктор Дятликович. Нет Такой Партии // «Русский репортер», № 37 (215), 22 сентября 2011, 2011] [омонимия не снята]	anim	null	obidet	lexical	
 ― Думаю, что столь подробный и хвалебный рассказ о его биографии ― сигнал самому Лазаро, который наверняка обижен на подставившее его ведомство, а заодно попытка улучшить имидж разведывательного сообщества.  [Дмитрий Великовский. Рыцари плаща и пиара // «Русский репортер», № 45 (173), 18 ноября 2010, 2010] [омонимия не снята]	anim	null	obidet	lexical	
 В общем, сводил концы с концами, да так хорошо, что никто из звеньев цепи обижен на него не был.  [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]	anim	cop	obidet	lexical	
 Он ведь очень обижен на Иркутск, считает, что мы его выгнали, вытеснили.  [Юлия Вишневецкая. Почему Россия — не Москва // «Русский репортер», № 43 (122), 12-19 ноября 2009, 2009] [омонимия не снята]	anim	null	obidet	lexical	
 Притом что я ничем не был на нее обижен.  [Константин Мильчин. Чекисты с лицами бомжей // «Русский репортер», № 43 (122), 12-19 ноября 2009, 2009] [омонимия не снята]	anim	cop	obidet	lexical	
  И как бы ни были крестьяне обижены на большевиков, при них они всё же сохраняли полученную после Октября помещичью землю.  [Гавриил Попов. Ошибка в проекте. Ленинский тупик // «Наука и жизнь», 2009] [омонимия не снята]	anim	cop	obidet	lexical	
  ― Нет, я и покормлю, и прослежу, но, знаешь, сердце за него не болит.  Кристина на меня обижена.  Думала, я буду с внуком сидеть.  [Маша Трауб. Бочка (2009)] [омонимия не снята]	anim	null	obidet	lexical	
 Я так и делала, хотя попыток примирения не отклоняла: я же никогда не бывала на него обижена, это он постоянно на меня дуется!  [Михаил Гиголашвили. Экобаба и дикарь (1998-2007) // «Зарубежные записки», 2009] [омонимия не снята]	anim	cop	obidet	lexical	
 Вы завтракаете?   Я ехидно молчу ― обижена на него.   ― Вы пышки едите?  [Нонна Мордюкова. Казачка (2005)] [омонимия не снята]	anim	null	obidet	lexical	
 Выслушала его ― поняла: брат обижен на Москву.  [Сергей Викулов. Проступают граниты... (2004) // «Наш современник», 2004.03.15] [омонимия не снята]	anim	null	obidet	lexical	
 ― И я не должен отказывать тебе только потому, что в обиде на тебя.   ― Ты на меня обижен?   ― Нет!  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]	anim	null	obidet	lexical	
 Она сказала Вале, что была очень обижена на нее, но теперь все обиды в прошлом.  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]	anim	cop	obidet	lexical	
 Работая в парикмахерской на богатых тетенек, она может быть обижена на жизнь и считать, что это у нее, такой молодой и однодневной, должно быть все, а не у толстых старых дур.  [Михаил Шишкин. Венерин волос (2004) // «Знамя», 2005] [омонимия не снята]	inan	inf	obidet	lexical	
